tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
296,56:39.5,01:35.7,3278,Monmouth and 6th,40.72568548,-74.04879034,3638,Washington St,40.7242941,-74.0354826,42145,Subscriber,1986,2
1269,08:29.0,29:38.2,3207,Oakland Ave,40.7376037,-74.0524783,3276,Marin Light Rail,40.71458404,-74.04281706,42429,Subscriber,1984,2
258,18:27.0,22:45.4,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,42428,Subscriber,1985,1
337,25:35.7,31:13.5,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,42427,Subscriber,1980,1
319,33:38.6,38:58.4,3278,Monmouth and 6th,40.72568548,-74.04879034,3187,Warren St,40.7211236,-74.03805095,42277,Subscriber,1991,1
121,36:46.9,38:47.9,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42210,Subscriber,1981,2
217,37:35.3,41:12.4,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,42409,Subscriber,1986,2
208,37:45.6,41:13.7,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42533,Subscriber,1987,2
294,38:59.5,43:54.4,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42406,Subscriber,1991,2
231,46:03.3,49:55.3,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42477,Subscriber,1981,1
92,47:52.2,49:24.8,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42266,Subscriber,1974,2
228,51:29.9,55:18.5,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42192,Subscriber,1985,1
364,52:07.8,58:11.9,3185,City Hall,40.7177325,-74.043845,3639,Harborside,40.7192517,-74.034234,42227,Subscriber,1988,1
574,53:20.1,02:55.1,3192,Liberty Light Rail,40.7112423,-74.0557013,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42373,Subscriber,1960,1
320,55:51.0,01:11.3,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.7308971,-74.06391263,42176,Subscriber,1962,1
278,59:54.1,04:32.9,3276,Marin Light Rail,40.71458404,-74.04281706,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42391,Customer,1992,2
1030,59:55.7,17:05.9,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3199,Newport Pkwy,40.7287448,-74.0321082,42399,Subscriber,1959,1
287,00:19.8,05:07.1,3638,Washington St,40.7242941,-74.0354826,3278,Monmouth and 6th,40.72568548,-74.04879034,42145,Subscriber,1986,2
257,01:42.9,06:00.6,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,42539,Subscriber,1978,1
458,03:27.8,11:06.6,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,42335,Subscriber,1964,1
562,03:28.4,12:51.0,3202,Newport PATH,40.7272235,-74.0337589,3269,Brunswick & 6th,40.72601173,-74.05038893,42592,Customer,1988,1
82,09:34.1,10:56.9,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42227,Subscriber,1988,1
244,10:42.7,14:47.4,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,42206,Customer,1995,1
417,11:44.8,18:42.4,3203,Hamilton Park,40.72759597,-74.04424731,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42462,Subscriber,1969,1
277,17:18.8,21:56.2,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42290,Subscriber,1980,1
167,17:29.2,20:16.2,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42526,Subscriber,1962,1
226,18:29.0,22:15.1,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,42160,Customer,1993,2
362,22:57.9,29:00.3,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,42502,Subscriber,1958,1
222,25:21.9,29:04.2,3211,Newark Ave,40.72152515,-74.04630454,3205,JC Medical Center,40.71653978,-74.04963791,42124,Subscriber,1956,1
474,30:48.8,38:43.5,3270,Jersey & 6th St,40.72528911,-74.04557168,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42187,Subscriber,1970,1
140,31:22.6,33:43.0,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42473,Subscriber,1970,1
264,32:03.2,36:27.5,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42623,Subscriber,1967,1
971,32:03.3,48:15.2,3694,Jackson Square,40.71113,-74.0789,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42147,Subscriber,1977,1
